Start Date;Start Time;End Date;End Time;EAN;Meter Nr;Metertype;Register;Volume;Unit;Validation Status
21-01-2025;19:00:00;21-01-2025;19:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;19:00:00;21-01-2025;19:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.419;kWh;Validated
21-01-2025;19:15:00;21-01-2025;19:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;19:15:00;21-01-2025;19:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.214;kWh;Validated
21-01-2025;19:30:00;21-01-2025;19:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;19:30:00;21-01-2025;19:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.049;kWh;Validated
21-01-2025;19:45:00;21-01-2025;20:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;19:45:00;21-01-2025;20:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.035;kWh;Validated
21-01-2025;20:00:00;21-01-2025;20:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;20:00:00;21-01-2025;20:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.038;kWh;Validated
21-01-2025;20:15:00;21-01-2025;20:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;20:15:00;21-01-2025;20:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.032;kWh;Validated
21-01-2025;20:30:00;21-01-2025;20:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;20:30:00;21-01-2025;20:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.109;kWh;Validated
21-01-2025;20:45:00;21-01-2025;21:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;20:45:00;21-01-2025;21:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.034;kWh;Validated
21-01-2025;21:00:00;21-01-2025;21:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;21:00:00;21-01-2025;21:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.031;kWh;Validated
21-01-2025;21:15:00;21-01-2025;21:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;21:15:00;21-01-2025;21:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.029;kWh;Validated
21-01-2025;21:30:00;21-01-2025;21:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;21:30:00;21-01-2025;21:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.03;kWh;Validated
21-01-2025;21:45:00;21-01-2025;22:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;21:45:00;21-01-2025;22:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.034;kWh;Validated
21-01-2025;22:00:00;21-01-2025;22:15:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;22:00:00;21-01-2025;22:15:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.123;kWh;Validated
21-01-2025;22:15:00;21-01-2025;22:30:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;22:15:00;21-01-2025;22:30:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.354;kWh;Validated
21-01-2025;22:30:00;21-01-2025;22:45:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;22:30:00;21-01-2025;22:45:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.44;kWh;Validated
21-01-2025;22:45:00;21-01-2025;23:00:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;22:45:00;21-01-2025;23:00:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.031;kWh;Validated
21-01-2025;23:00:00;21-01-2025;23:15:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;23:00:00;21-01-2025;23:15:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.029;kWh;Validated
21-01-2025;23:15:00;21-01-2025;23:30:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;23:15:00;21-01-2025;23:30:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.037;kWh;Validated
21-01-2025;23:30:00;21-01-2025;23:45:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
